,date,region,state,cases,deaths,new_cases_per_state,new_deaths_per_state
0,2020-02-26,Sudeste,SP,1,0,0,0
1,2020-02-27,Sudeste,SP,1,0,0,0
2,2020-02-28,Sudeste,SP,1,0,0,0
3,2020-02-29,Sudeste,SP,2,0,1,0
4,2020-03-01,Sudeste,SP,2,0,0,0
5,2020-03-02,Sudeste,SP,2,0,0,0
6,2020-03-03,Sudeste,SP,2,0,0,0
7,2020-03-04,Sudeste,SP,3,0,1,0
8,2020-03-05,Sudeste,RJ,1,0,0,0
9,2020-03-05,Sudeste,SP,6,0,3,0
10,2020-03-06,Nordeste,BA,1,0,0,0
11,2020-03-06,Sudeste,ES,1,0,0,0
12,2020-03-06,Sudeste,RJ,1,0,0,0
13,2020-03-06,Sudeste,SP,10,0,4,0
14,2020-03-07,Centro-Oeste,DF,1,0,0,0
15,2020-03-07,Nordeste,BA,2,0,1,0
16,2020-03-07,Sudeste,ES,1,0,0,0
17,2020-03-07,Sudeste,RJ,2,0,1,0
18,2020-03-07,Sudeste,SP,13,0,3,0
19,2020-03-08,Centro-Oeste,DF,1,0,0,0
20,2020-03-08,Nordeste,AL,1,0,0,0
21,2020-03-08,Nordeste,BA,2,0,0,0
22,2020-03-08,Sudeste,ES,1,0,0,0
23,2020-03-08,Sudeste,MG,1,0,0,0
24,2020-03-08,Sudeste,RJ,3,0,1,0
25,2020-03-08,Sudeste,SP,16,0,3,0
26,2020-03-09,Centro-Oeste,DF,1,0,0,0
27,2020-03-09,Nordeste,AL,1,0,0,0
28,2020-03-09,Nordeste,BA,2,0,0,0
29,2020-03-09,Sudeste,ES,1,0,0,0
30,2020-03-09,Sudeste,MG,1,0,0,0
31,2020-03-09,Sudeste,RJ,3,0,0,0
32,2020-03-09,Sudeste,SP,16,0,0,0
33,2020-03-10,Centro-Oeste,DF,1,0,0,0
34,2020-03-10,Nordeste,AL,1,0,0,0
35,2020-03-10,Nordeste,BA,2,0,0,0
36,2020-03-10,Sudeste,ES,1,0,0,0
37,2020-03-10,Sudeste,MG,1,0,0,0
38,2020-03-10,Sudeste,RJ,8,0,5,0
39,2020-03-10,Sudeste,SP,19,0,3,0
40,2020-03-10,Sul,RS,1,0,0,0
41,2020-03-11,Centro-Oeste,DF,2,0,1,0
42,2020-03-11,Nordeste,AL,1,0,0,0
43,2020-03-11,Nordeste,BA,2,0,0,0
44,2020-03-11,Sudeste,ES,1,0,0,0
45,2020-03-11,Sudeste,MG,1,0,0,0
46,2020-03-11,Sudeste,RJ,13,0,5,0
47,2020-03-11,Sudeste,SP,30,0,11,0
48,2020-03-11,Sul,RS,2,0,1,0
49,2020-03-12,Centro-Oeste,DF,2,0,0,0
50,2020-03-12,Nordeste,AL,1,0,0,0
51,2020-03-12,Nordeste,BA,2,0,0,0
52,2020-03-12,Nordeste,PE,2,0,0,0
53,2020-03-12,Sudeste,ES,1,0,0,0
54,2020-03-12,Sudeste,MG,1,0,0,0
55,2020-03-12,Sudeste,RJ,16,0,3,0
56,2020-03-12,Sudeste,SP,42,0,12,0
57,2020-03-12,Sul,PR,6,0,0,0
58,2020-03-12,Sul,RS,4,0,2,0
59,2020-03-13,Centro-Oeste,DF,2,0,0,0
60,2020-03-13,Centro-Oeste,GO,3,0,0,0
61,2020-03-13,Nordeste,AL,1,0,0,0
62,2020-03-13,Nordeste,BA,2,0,0,0
63,2020-03-13,Nordeste,PE,2,0,0,0
64,2020-03-13,Nordeste,RN,1,0,0,0
65,2020-03-13,Sudeste,ES,1,0,0,0
66,2020-03-13,Sudeste,MG,2,0,1,0
67,2020-03-13,Sudeste,RJ,16,0,0,0
68,2020-03-13,Sudeste,SP,56,0,14,0
69,2020-03-13,Sul,PR,6,0,0,0
70,2020-03-13,Sul,RS,4,0,0,0
71,2020-03-13,Sul,SC,2,0,0,0
72,2020-03-14,Centro-Oeste,DF,6,0,4,0
73,2020-03-14,Centro-Oeste,GO,3,0,0,0
74,2020-03-14,Nordeste,AL,1,0,0,0
75,2020-03-14,Nordeste,BA,2,0,0,0
76,2020-03-14,Nordeste,PE,2,0,0,0
77,2020-03-14,Nordeste,RN,1,0,0,0
78,2020-03-14,Sudeste,ES,1,0,0,0
79,2020-03-14,Sudeste,MG,2,0,0,0
80,2020-03-14,Sudeste,RJ,22,0,6,0
81,2020-03-14,Sudeste,SP,65,0,9,0
82,2020-03-14,Sul,PR,6,0,0,0
83,2020-03-14,Sul,RS,6,0,2,0
84,2020-03-14,Sul,SC,4,0,2,0
85,2020-03-15,Centro-Oeste,DF,8,0,2,0
86,2020-03-15,Centro-Oeste,GO,3,0,0,0
87,2020-03-15,Nordeste,AL,1,0,0,0
88,2020-03-15,Nordeste,BA,2,0,0,0
89,2020-03-15,Nordeste,PE,2,0,0,0
90,2020-03-15,Nordeste,RN,1,0,0,0
91,2020-03-15,Nordeste,SE,1,0,0,0
92,2020-03-15,Norte,AM,1,0,0,0
93,2020-03-15,Sudeste,ES,1,0,0,0
94,2020-03-15,Sudeste,MG,2,0,0,0
95,2020-03-15,Sudeste,RJ,24,0,2,0
96,2020-03-15,Sudeste,SP,136,0,71,0
97,2020-03-15,Sul,PR,6,0,0,0
98,2020-03-15,Sul,RS,6,0,0,0
99,2020-03-15,Sul,SC,6,0,2,0
100,2020-03-16,Centro-Oeste,DF,13,0,5,0
101,2020-03-16,Centro-Oeste,GO,3,0,0,0
102,2020-03-16,Centro-Oeste,MS,2,0,0,0
103,2020-03-16,Nordeste,AL,1,0,0,0
104,2020-03-16,Nordeste,BA,2,0,0,0
105,2020-03-16,Nordeste,PE,2,0,0,0
106,2020-03-16,Nordeste,RN,1,0,0,0
107,2020-03-16,Nordeste,SE,1,0,0,0
108,2020-03-16,Norte,AM,1,0,0,0
109,2020-03-16,Sudeste,ES,1,0,0,0
110,2020-03-16,Sudeste,MG,5,0,3,0
111,2020-03-16,Sudeste,RJ,31,0,7,0
112,2020-03-16,Sudeste,SP,152,0,16,0
113,2020-03-16,Sul,PR,6,0,0,0
114,2020-03-16,Sul,RS,6,0,0,0
115,2020-03-16,Sul,SC,7,0,1,0
116,2020-03-17,Centro-Oeste,DF,22,0,9,0
117,2020-03-17,Centro-Oeste,GO,6,0,3,0
118,2020-03-17,Centro-Oeste,MS,4,0,2,0
119,2020-03-17,Nordeste,AL,1,0,0,0
120,2020-03-17,Nordeste,BA,3,0,1,0
121,2020-03-17,Nordeste,CE,5,0,0,0
122,2020-03-17,Nordeste,PE,16,0,14,0
123,2020-03-17,Nordeste,RN,1,0,0,0
124,2020-03-17,Nordeste,SE,4,0,3,0
125,2020-03-17,Norte,AM,1,0,0,0
126,2020-03-17,Sudeste,ES,1,0,0,0
127,2020-03-17,Sudeste,MG,7,0,2,0
128,2020-03-17,Sudeste,RJ,33,0,2,0
129,2020-03-17,Sudeste,SP,164,1,12,1
130,2020-03-17,Sul,PR,6,0,0,0
131,2020-03-17,Sul,RS,10,0,4,0
132,2020-03-17,Sul,SC,7,0,0,0
133,2020-03-18,Centro-Oeste,DF,26,0,4,0
134,2020-03-18,Centro-Oeste,GO,8,0,2,0
135,2020-03-18,Centro-Oeste,MS,7,0,3,0
136,2020-03-18,Nordeste,AL,1,0,0,0
137,2020-03-18,Nordeste,BA,3,0,0,0
138,2020-03-18,Nordeste,CE,9,0,4,0
139,2020-03-18,Nordeste,PE,16,0,0,0
140,2020-03-18,Nordeste,RN,1,0,0,0
141,2020-03-18,Nordeste,SE,5,0,1,0
142,2020-03-18,Norte,AM,1,0,0,0
143,2020-03-18,Sudeste,ES,9,0,8,0
144,2020-03-18,Sudeste,MG,15,0,8,0
145,2020-03-18,Sudeste,RJ,45,0,12,0
146,2020-03-18,Sudeste,SP,240,4,76,3
147,2020-03-18,Sul,PR,13,0,7,0
148,2020-03-18,Sul,RS,19,0,9,0
149,2020-03-18,Sul,SC,10,0,3,0
150,2020-03-19,Centro-Oeste,DF,42,0,16,0
151,2020-03-19,Centro-Oeste,GO,12,0,4,0
152,2020-03-19,Centro-Oeste,MS,7,0,0,0
153,2020-03-19,Nordeste,AL,4,0,3,0
154,2020-03-19,Nordeste,BA,30,0,27,0
155,2020-03-19,Nordeste,CE,20,0,11,0
156,2020-03-19,Nordeste,PB,1,0,0,0
157,2020-03-19,Nordeste,PE,28,0,12,0
158,2020-03-19,Nordeste,RN,1,0,0,0
159,2020-03-19,Nordeste,SE,6,0,1,0
160,2020-03-19,Norte,AC,3,0,0,0
161,2020-03-19,Norte,AM,3,0,2,0
162,2020-03-19,Norte,PA,1,0,0,0
163,2020-03-19,Norte,TO,1,0,0,0
164,2020-03-19,Sudeste,ES,11,0,2,0
165,2020-03-19,Sudeste,MG,29,0,14,0
166,2020-03-19,Sudeste,RJ,65,2,20,2
167,2020-03-19,Sudeste,SP,286,4,46,0
168,2020-03-19,Sul,PR,23,0,10,0
169,2020-03-19,Sul,RS,28,0,9,0
170,2020-03-19,Sul,SC,20,0,10,0
171,2020-03-20,Centro-Oeste,DF,87,0,45,0
172,2020-03-20,Centro-Oeste,GO,15,0,3,0
173,2020-03-20,Centro-Oeste,MS,9,0,2,0
174,2020-03-20,Centro-Oeste,MT,1,0,0,0
175,2020-03-20,Nordeste,AL,5,0,1,0
176,2020-03-20,Nordeste,BA,33,0,3,0
177,2020-03-20,Nordeste,CE,55,0,35,0
178,2020-03-20,Nordeste,PB,1,0,0,0
179,2020-03-20,Nordeste,PE,30,0,2,0
180,2020-03-20,Nordeste,PI,3,0,0,0
181,2020-03-20,Nordeste,RN,1,0,0,0
182,2020-03-20,Nordeste,SE,6,0,0,0
183,2020-03-20,Norte,AC,7,0,4,0
184,2020-03-20,Norte,AM,3,0,0,0
185,2020-03-20,Norte,AP,1,0,0,0
186,2020-03-20,Norte,PA,2,0,1,0
187,2020-03-20,Norte,RO,1,0,0,0
188,2020-03-20,Norte,TO,1,0,0,0
189,2020-03-20,Sudeste,ES,13,0,2,0
190,2020-03-20,Sudeste,MG,35,0,6,0
191,2020-03-20,Sudeste,RJ,109,2,44,0
192,2020-03-20,Sudeste,SP,396,9,110,5
193,2020-03-20,Sul,PR,32,0,9,0
194,2020-03-20,Sul,RS,37,0,9,0
195,2020-03-20,Sul,SC,21,0,1,0
196,2020-03-21,Centro-Oeste,DF,100,0,13,0
197,2020-03-21,Centro-Oeste,GO,20,0,5,0
198,2020-03-21,Centro-Oeste,MS,16,0,7,0
199,2020-03-21,Centro-Oeste,MT,2,0,1,0
200,2020-03-21,Nordeste,AL,7,0,2,0
201,2020-03-21,Nordeste,BA,41,0,8,0
202,2020-03-21,Nordeste,CE,68,0,13,0
203,2020-03-21,Nordeste,MA,1,0,0,0
204,2020-03-21,Nordeste,PB,1,0,0,0
205,2020-03-21,Nordeste,PE,30,0,0,0
206,2020-03-21,Nordeste,PI,4,0,1,0
207,2020-03-21,Nordeste,RN,6,0,5,0
208,2020-03-21,Nordeste,SE,10,0,4,0
209,2020-03-21,Norte,AC,9,0,2,0
210,2020-03-21,Norte,AM,11,0,8,0
211,2020-03-21,Norte,AP,1,0,0,0
212,2020-03-21,Norte,PA,2,0,0,0
213,2020-03-21,Norte,RO,1,0,0,0
